time,x,y,z
3.767298,-0.627,-1.335,0.102
3.769563,-0.646,-1.369,0.079
3.77207,-0.669,-1.402,0.056
3.774976,-0.693,-1.432,0.038
3.782889,-0.717,-1.457,0.017
3.787475,-0.837,-1.486,-0.048
3.789834,-0.869,-1.469,-0.063
3.80291,-0.893,-1.437,-0.078
3.807524,-0.84,-0.792,-0.049
3.821917,-0.795,-0.625,-0.033
3.82498,-0.441,0.3,0.09
3.840925,-0.381,0.407,0.104
3.861074,-0.101,0.647,0.139
3.865467,0.068,0.245,0.157
3.868321,0.076,0.189,0.157
3.870392,0.084,0.134,0.158
3.872856,0.094,0.085,0.158
3.875386,0.102,0.036,0.157
3.882011,0.109,-0.008,0.153
3.885367,0.136,-0.107,0.127
3.888023,0.141,-0.127,0.119
3.890455,0.148,-0.144,0.107
3.901006,0.155,-0.155,0.093
3.905612,0.174,-0.155,0.025
3.908429,0.176,-0.147,0.016
3.920192,0.176,-0.143,0.007
3.923211,0.155,-0.155,-0.017
3.92583,0.149,-0.164,-0.018
3.939292,0.139,-0.179,-0.015
3.958031,0.09,-0.31,0.016
3.977261,0.082,-0.381,0.1
3.981303,0.162,-0.176,0.21
3.983777,0.177,-0.138,0.226
3.986275,0.189,-0.1,0.239
3.988777,0.201,-0.063,0.253
3.991317,0.21,-0.026,0.267
3.998226,0.218,0.008,0.281
4.001284,0.233,0.097,0.317
4.003754,0.233,0.12,0.326
4.006536,0.234,0.141,0.333
4.017788,0.23,0.163,0.341
4.021419,0.204,0.266,0.345
4.023819,0.199,0.284,0.338
4.037332,0.19,0.302,0.327
4.040521,0.164,0.378,0.266
4.056525,0.143,0.404,0.214
4.076742,0.109,0.322,0.169
4.099897,0.028,0.015,0.306
4.100526,0.013,-0.024,0.333
4.101044,0.002,-0.06,0.357
4.114437,-0.026,-0.135,0.457
4.117469,0.041,-0.007,0.375
4.119519,0.058,0.013,0.347
4.122077,0.077,0.034,0.32
4.124507,0.098,0.05,0.287
4.134873,0.12,0.058,0.258
4.137578,0.213,0.036,0.142
4.142359,0.263,-0.015,0.093
4.154537,0.284,-0.055,0.071
4.157343,0.392,-0.297,-0.017
4.173498,0.412,-0.352,-0.032
4.192608,0.525,-0.787,-0.095
4.195267,0.596,-1.141,-0.133
4.197631,0.601,-1.172,-0.137
4.200147,0.606,-1.198,-0.142
4.204997,0.613,-1.222,-0.15
4.207775,0.614,-1.223,-0.156
4.214403,0.61,-1.217,-0.16
4.217927,0.599,-1.158,-0.172
4.220545,0.592,-1.123,-0.177
4.222925,0.583,-1.084,-0.183
4.225387,0.571,-1.038,-0.185
4.234101,0.561,-0.988,-0.188
4.238114,0.493,-0.763,-0.184
4.240714,0.471,-0.706,-0.178
4.253385,0.448,-0.648,-0.173
4.258163,0.285,-0.323,-0.148
4.272807,0.255,-0.273,-0.148
4.27585,0.062,-0.002,-0.182
4.291707,0.027,0.036,-0.193
4.310782,-0.214,0.198,-0.272
4.328828,-0.542,0.215,-0.364
4.331994,-0.895,-0.037,-0.432
4.334336,-0.932,-0.089,-0.438
4.33677,-0.965,-0.139,-0.443
4.33928,-0.994,-0.192,-0.448
4.341864,-1.022,-0.244,-0.453
4.350751,-1.048,-0.295,-0.458
4.354334,-1.115,-0.495,-0.493
4.356772,-1.124,-0.544,-0.501
4.369673,-1.13,-0.584,-0.513
4.373909,-1.089,-0.771,-0.588
4.388907,-1.07,-0.788,-0.595
4.391808,-0.865,-0.811,-0.607
4.407888,-0.819,-0.798,-0.594
4.426759,-0.476,-0.662,-0.476
4.429667,0.033,-0.385,-0.232
4.431848,0.089,-0.35,-0.207
4.434451,0.143,-0.318,-0.183
4.436928,0.191,-0.291,-0.154
4.439467,0.237,-0.265,-0.131
4.442224,0.28,-0.242,-0.113
4.449167,0.319,-0.225,-0.095
4.449263,0.353,-0.209,-0.081
4.449896,0.38,-0.201,-0.069
4.452158,0.404,-0.191,-0.063
4.454598,0.423,-0.183,-0.059
4.457138,0.437,-0.175,-0.058
4.468122,0.448,-0.173,-0.059
4.472475,0.441,-0.161,-0.091
4.474901,0.428,-0.16,-0.101
4.489568,0.412,-0.156,-0.109
4.492592,0.267,-0.148,-0.179
4.509244,0.236,-0.148,-0.19
4.514437,0.069,-0.163,-0.24
4.515482,0.038,-0.17,-0.249
4.528085,-0.058,-0.197,-0.265
4.532446,-0.209,-0.289,-0.279
4.5352,-0.228,-0.303,-0.279
4.537525,-0.242,-0.316,-0.279
4.540046,-0.256,-0.327,-0.274
4.543839,-0.264,-0.338,-0.272
4.554463,-0.274,-0.345,-0.266
4.557747,-0.281,-0.318,-0.225
4.573344,-0.276,-0.3,-0.213
4.594124,-0.215,-0.087,-0.114
4.598128,-0.102,0.279,-0.065
4.600488,-0.084,0.318,-0.067
4.606982,-0.071,0.356,-0.069
4.617274,-0.021,0.44,-0.07
4.620865,0.031,0.454,-0.08
4.623375,0.045,0.441,-0.079
4.625787,0.058,0.421,-0.079
4.636708,0.07,0.392,-0.08
4.640899,0.116,0.181,-0.064
4.655447,0.12,0.131,-0.057
4.658437,0.116,-0.098,0.028
4.67444,0.106,-0.112,0.045
4.693577,0.061,0.011,0.107
4.696507,0.081,0.454,-0.106
4.698933,0.089,0.502,-0.143
4.701375,0.094,0.546,-0.178
4.706966,0.1,0.585,-0.211
4.708197,0.103,0.617,-0.239
4.709208,0.107,0.647,-0.266
4.716438,0.109,0.672,-0.286
4.719173,0.116,0.725,-0.332
4.721479,0.117,0.735,-0.341
4.724047,0.121,0.743,-0.347
4.737625,0.123,0.747,-0.349
4.741718,0.143,0.724,-0.328
4.76183,0.15,0.715,-0.319
4.764394,0.217,0.639,-0.222
4.766961,0.223,0.627,-0.207
4.769857,0.232,0.62,-0.192
4.771964,0.242,0.61,-0.176
4.774571,0.251,0.601,-0.159
4.78222,0.256,0.594,-0.141
4.786998,0.273,0.578,-0.057
4.78941,0.275,0.577,-0.035
4.791934,0.279,0.574,-0.009
4.801504,0.277,0.575,0.012
4.804624,0.265,0.59,0.117
4.807363,0.256,0.599,0.14
4.822063,0.249,0.611,0.167
4.825002,0.171,0.758,0.317
4.84121,0.153,0.792,0.339
4.861755,0.043,0.997,0.451
4.880425,-0.129,0.869,0.509
4.885076,-0.299,0.172,0.419
4.887888,-0.316,0.073,0.4
4.890168,-0.332,-0.025,0.377
4.899593,-0.345,-0.124,0.353
4.902798,-0.395,-0.52,0.247
4.90518,-0.403,-0.615,0.217
4.908467,-0.407,-0.709,0.189
4.918996,-0.409,-0.799,0.158
4.922981,-0.401,-1.198,0.024
4.925924,-0.397,-1.262,0.003
4.937968,-0.388,-1.32,-0.017
4.940613,-0.324,-1.497,-0.084
4.957007,-0.303,-1.506,-0.086
4.976422,-0.073,-1.282,0.007
4.980829,0.239,-0.665,0.202
4.983525,0.272,-0.585,0.225
4.98613,0.301,-0.509,0.243
4.98863,0.324,-0.435,0.263
4.991291,0.347,-0.367,0.281
5.000826,0.362,-0.305,0.297
5.004007,0.403,-0.104,0.34
